,Mouser No,Mfr. No,Manufacturer,Customer No,Description ,RoHS,Lifecycle,Order Qty.,Price (SGD),Ext.: (SGD)
1,81-GRM1555C1H200GA1D,GRM1555C1H200GA01D,Murata,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 20 pF 50 VDC 2% 0402 C0G (NP0),RoHS Compliant,,100,$0.051,$5.10
2,81-GRM155R61H104KE9J,GRM155R61H104KE19J,Murata,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1 uF 50 VDC 10% 0402 X5R,RoHS Compliant,,500,$0.025,$12.50
3,81-GRT21BR71H105KE1K,GRT21BR71H105KE01K,Murata,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1 uF 50 VDC 10% 0805 X7R AEC-Q200,,,100,$0.097,$9.70
4,71-WSLP08059L000FEA1,WSLP08059L000FEA18,Vishay,,Current Sense Resistors - SMD 1watt 0.009ohm 1%,RoHS Compliant,,10,$1.43,$14.30
5,652-SRR6838A-1R0Y,SRR6838A-1R0Y,Bourns,,"Power Inductors - SMD Ind,6.8x6.8x3.8mm,1uH+/-30%,4.5A,",RoHS Compliant,New Product,10,$1.60,$16.00
6,595-INA232AIDDFR,INA232AIDDFR,Texas Instruments,,Current & Power Monitors & Regulators 48-V 16-bit high-pr ecision I C output d,RoHS Compliant,,10,$1.85,$18.50
7,595-TPS22997RYZR,TPS22997RYZR,Texas Instruments,,Power Switch ICs - Power Distribution 5.5-V 10-A 4-mohm on -resistance load swi,RoHS Compliant,,5,$1.04,$5.20
